"Deaths by age and sex (Maori population) (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","",""
"","",1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Male","Less than 1 year",96,96,75,84,69,66,63,69,60,69,60,66,78,72,72,72,42,48,66,48,42,48
" ","1 year",9,9,9,9,6,9,12,3,9,6,3,9,9,9,6,6,6,3,6,6,3,6
" ","2 years",3,9,3,3,3,6,0,6,3,6,3,6,3,3,3,3,3,3,3,3,0,0
" ","3 years",3,6,3,6,6,3,6,0,3,0,3,3,3,3,3,0,3,3,3,0,0,0
" ","4 years",3,3,0,3,6,3,0,0,0,0,3,0,0,3,3,3,3,3,0,0,0,3
" ","5 years",0,6,0,3,3,0,0,0,3,6,3,3,0,0,3,3,3,0,3,0,3,0
" ","6 years",3,0,6,3,0,3,3,0,0,3,3,3,0,3,0,0,0,3,0,0,0,0
" ","7 years",0,0,0,0,3,0,3,0,0,3,3,0,0,3,0,0,0,0,3,0,0,0
" ","8 years",0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,3,3
" ","9 years",0,3,0,3,0,0,0,3,0,3,3,3,0,0,0,0,3,3,3,0,0,3
" ","10 years",3,3,3,3,3,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3
" ","11 years",0,3,3,3,0,3,0,6,0,3,0,0,0,0,3,0,0,3,0,3,0,3
" ","12 years",3,3,0,3,3,0,3,3,3,0,3,0,3,0,3,0,3,0,0,0,3,0
" ","13 years",3,0,6,0,0,3,6,3,3,3,0,3,6,3,3,0,3,0,0,3,0,3
" ","14 years",0,6,6,6,3,3,3,3,6,0,3,0,3,6,3,6,6,0,3,3,3,3
" ","15 years",3,6,3,6,3,3,3,3,9,6,6,6,6,6,3,9,6,6,0,3,6,3
" ","16 years",12,9,6,6,6,6,6,9,6,12,6,3,6,9,3,9,15,3,6,0,9,3
" ","17 years",9,12,9,6,9,3,6,6,9,6,12,12,9,15,9,9,9,12,9,9,6,6
" ","18 years",12,15,9,9,9,12,12,15,9,9,12,12,0,6,12,12,9,6,3,9,6,9
" ","19 years",9,12,9,3,3,9,6,6,9,9,9,3,6,9,9,12,9,12,6,15,6,9
" ","20 years",9,9,9,9,6,6,6,6,9,6,12,6,15,9,12,9,9,6,9,3,3,9
" ","21 years",3,6,15,9,6,6,9,9,15,12,6,9,9,6,15,0,3,9,9,6,9,12
" ","22 years",15,3,9,9,12,9,9,9,3,15,3,6,12,6,9,6,9,12,6,9,9,3
" ","23 years",12,9,9,12,3,6,6,9,9,6,3,6,9,6,12,9,3,6,6,0,6,15
" ","24 years",9,9,3,9,12,3,6,6,9,12,6,3,9,9,3,6,9,6,9,15,6,12
" ","25 years",9,9,6,6,9,3,9,9,9,9,3,6,6,3,3,6,12,6,6,12,15,9
" ","26 years",12,18,9,6,9,9,3,6,3,6,9,3,6,3,6,3,12,3,9,9,9,9
" ","27 years",9,6,9,12,6,9,6,6,9,12,6,9,6,9,9,3,6,6,9,6,6,9
" ","28 years",12,6,12,9,9,9,3,12,6,9,6,6,6,6,6,6,6,3,6,6,9,9
" ","29 years",9,9,15,9,6,12,6,6,6,3,3,3,3,12,6,6,3,9,3,9,9,12
" ","30 years",12,9,6,6,9,6,12,12,6,9,9,9,3,6,3,9,3,6,6,6,9,6
" ","31 years",9,6,12,9,6,9,9,3,3,9,9,6,6,3,3,12,9,3,3,9,9,9
" ","32 years",9,9,15,15,12,9,9,15,6,15,6,9,6,6,3,6,3,6,6,9,9,15
" ","33 years",15,6,6,9,12,12,3,12,9,15,9,9,3,9,0,6,6,9,9,15,0,6
" ","34 years",12,12,12,9,6,12,9,9,6,6,6,15,6,9,3,6,9,3,0,9,9,9
" ","35 years",9,9,3,9,12,12,9,6,12,9,9,9,9,12,3,9,6,9,9,9,12,6
" ","36 years",15,9,9,12,6,9,9,9,6,9,9,12,9,6,9,6,9,6,9,12,12,6
" ","37 years",12,6,18,9,6,6,9,12,9,9,15,12,9,6,9,9,6,3,12,6,9,15
" ","38 years",12,12,12,12,9,9,15,3,9,12,9,12,9,12,9,6,12,6,3,6,6,15
" ","39 years",9,3,9,12,12,6,9,12,9,6,12,15,9,15,12,12,6,15,12,0,6,6
" ","40 years",12,15,12,6,15,12,15,21,18,15,9,12,9,9,6,12,6,9,15,3,9,12
" ","41 years",6,12,12,12,12,6,9,21,15,18,12,6,9,9,24,6,12,9,9,9,6,9
" ","42 years",12,12,12,12,9,3,9,9,12,27,15,12,18,9,12,9,18,9,9,18,15,15
" ","43 years",12,18,15,18,12,21,21,9,18,15,3,15,18,12,12,12,21,15,18,9,18,12
" ","44 years",12,6,15,18,18,18,12,15,21,18,15,27,12,27,18,18,12,15,24,15,12,15
" ","45 years",18,15,18,12,12,9,18,18,18,15,15,27,15,15,18,9,18,15,15,18,15,18
" ","46 years",12,9,15,18,18,12,21,15,18,12,18,21,18,18,18,12,12,24,15,15,9,15
" ","47 years",15,12,15,18,18,15,12,21,24,18,27,21,12,24,21,18,18,15,18,15,24,21
" ","48 years",15,18,24,24,18,15,18,15,21,18,18,27,15,21,21,24,18,15,12,21,18,24
" ","49 years",15,21,21,18,24,12,21,18,18,18,24,18,18,15,27,24,18,18,21,24,21,30
" ","50 years",18,24,21,18,18,18,18,18,24,18,15,18,12,15,24,24,24,27,24,21,27,21
" ","51 years",15,15,15,24,18,27,24,18,21,21,27,24,21,33,18,24,27,24,27,27,33,27
" ","52 years",24,18,27,30,21,15,24,18,24,18,24,24,24,33,30,18,24,33,33,21,24,30
" ","53 years",27,30,21,27,24,27,30,24,33,24,30,27,36,18,33,27,27,18,30,27,30,33
" ","54 years",30,24,27,21,24,21,24,27,33,27,15,30,24,33,36,21,36,27,30,36,39,39
" ","55 years",30,24,24,33,18,21,27,24,21,30,33,36,39,21,15,27,27,30,24,33,42,30
" ","56 years",33,21,27,21,33,21,12,27,27,15,21,21,30,21,24,33,21,33,36,42,33,30
" ","57 years",21,33,24,18,27,27,21,24,24,24,33,27,27,27,33,24,27,27,27,36,39,39
" ","58 years",27,27,39,30,30,30,27,27,18,21,27,18,36,27,36,27,30,27,24,39,39,45
" ","59 years",24,27,24,36,39,33,36,30,39,24,33,27,30,36,24,36,33,39,36,30,39,48
" ","60 years",42,33,39,30,27,24,27,30,30,36,33,21,36,42,24,33,39,33,36,30,36,42
" ","61 years",36,33,24,42,30,27,30,36,24,24,30,30,48,33,30,30,36,33,39,45,42,48
" ","62 years",36,30,39,42,42,33,36,33,27,27,36,33,36,30,30,30,33,36,42,45,48,45
" ","63 years",36,39,33,36,36,27,27,24,24,30,36,30,24,30,42,42,30,48,42,45,39,48
" ","64 years",36,33,36,36,30,36,33,36,21,36,36,39,30,48,27,24,33,30,51,39,36,42
" ","65 years",27,45,39,36,24,36,42,33,27,39,33,39,33,39,33,30,30,48,36,39,45,57
" ","66 years",36,39,27,39,30,27,42,33,42,36,33,39,30,36,24,39,27,30,42,45,51,39
" ","67 years",39,33,30,24,36,42,36,33,48,21,39,33,36,42,30,27,30,36,51,51,36,48
" ","68 years",39,27,39,30,36,27,24,36,36,36,33,42,27,39,33,30,36,27,39,48,45,45
" ","69 years",27,36,33,24,42,33,36,33,36,27,33,36,42,42,30,30,27,36,39,36,48,39
" ","70 years",30,21,33,27,24,42,36,48,33,27,27,36,30,51,33,42,33,36,42,33,36,48
" ","71 years",30,33,21,30,24,42,24,33,42,21,27,27,33,39,33,45,48,51,36,42,33,42
" ","72 years",24,24,21,36,39,27,39,24,30,33,30,36,42,42,30,45,48,36,45,27,45,54
" ","73 years",18,27,21,27,27,21,27,24,36,33,39,36,30,39,24,36,27,51,48,42,30,51
" ","74 years",30,12,33,33,18,27,33,27,30,27,33,33,33,30,39,30,36,39,33,48,48,45
" ","75 years",21,15,18,27,27,21,24,42,24,36,30,45,30,30,42,42,42,42,42,45,48,39
" ","76 years",18,27,15,24,24,21,24,30,27,24,30,21,27,33,27,27,36,36,33,48,45,45
" ","77 years",21,15,24,18,21,21,33,24,15,24,30,30,30,21,18,30,36,30,39,42,39,48
" ","78 years",9,15,15,21,24,15,18,21,21,18,24,21,21,24,21,36,39,45,33,33,45,51
" ","79 years",15,12,15,21,21,12,18,30,24,27,24,24,33,24,21,30,36,27,39,39,27,42
" ","80 years",15,15,18,15,21,15,21,18,27,12,24,21,15,27,18,15,24,18,30,45,24,42
" ","81 years",15,15,9,18,12,9,9,9,12,27,15,18,27,24,15,27,24,33,33,33,39,42
" ","82 years",15,18,12,24,15,18,12,18,18,21,18,21,15,24,18,21,42,30,24,24,39,33
" ","83 years",12,18,9,9,3,15,12,9,12,12,12,15,24,21,21,21,36,27,27,24,36,21
" ","84 years",12,6,9,12,15,9,9,9,15,6,12,12,12,21,18,21,15,24,27,24,33,18
" ","85 years",9,9,6,6,6,6,12,9,12,12,9,15,9,12,15,9,15,18,21,18,24,33
" ","86 years",6,3,9,6,9,6,15,9,3,6,6,3,6,6,9,9,21,12,27,21,18,18
" ","87 years",9,6,6,9,6,6,6,9,3,6,3,3,9,12,3,12,15,12,12,27,18,18
" ","88 years",3,3,9,0,9,6,6,6,6,9,3,6,9,3,9,9,9,15,9,12,9,12
" ","89 years",6,3,0,3,3,3,3,3,9,9,6,9,3,6,6,3,9,6,9,12,12,9
" ","90 years",6,3,3,3,6,3,3,3,3,0,3,6,3,0,3,6,6,9,6,6,9,15
" ","91 years",3,6,3,3,3,6,3,3,3,0,3,6,3,3,0,9,3,3,3,9,9,6
" ","92 years",0,0,0,0,0,3,6,6,0,0,6,3,3,0,3,0,0,6,3,3,6,6
" ","93 years",3,3,0,3,3,3,0,0,0,3,3,3,3,0,3,3,3,0,6,3,6,3
" ","94 years",3,3,3,3,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,3,6
" ","95 years",3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,0,3,0
" ","96 years",0,3,3,3,3,3,0,3,3,3,0,0,3,3,0,0,0,3,0,3,0,0
" ","97 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
" ","98 years",0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
" ","99 years",0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
" ","100 years and over",0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0
"Female","Less than 1 year",87,72,42,48,54,60,48,36,54,42,57,54,51,57,51,48,39,36,57,36,42,42
" ","1 year",9,9,9,0,6,3,3,6,3,6,0,3,6,6,6,0,6,3,9,0,3,3
" ","2 years",6,6,0,3,6,0,0,3,3,3,0,6,3,0,3,0,0,3,0,3,6,0
" ","3 years",0,0,6,3,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,0,0
" ","4 years",3,3,3,3,6,0,3,3,0,0,0,3,3,0,0,0,0,3,0,3,0,0
" ","5 years",3,3,3,0,0,0,0,0,3,3,3,0,0,3,0,3,3,6,0,0,3,3
" ","6 years",0,3,0,0,3,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,3
" ","7 years",0,3,3,0,0,3,0,0,3,0,0,3,3,3,0,0,0,3,3,0,3,0
" ","8 years",0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
