"TIME","GEO","AGE","SEX","UNIT","Value"
"2003","Netherlands","Less than 1 year","Males","Number","103,818"
"2003","Netherlands","Less than 1 year","Females","Number","98,568"
"2003","Netherlands","1 year","Males","Number","104,951"
"2003","Netherlands","1 year","Females","Number","100,200"
"2003","Netherlands","2 years","Males","Number","106,544"
"2003","Netherlands","2 years","Females","Number","102,289"
"2003","Netherlands","3 years","Males","Number","104,488"
"2003","Netherlands","3 years","Females","Number","99,431"
"2003","Netherlands","4 years","Males","Number","103,497"
"2003","Netherlands","4 years","Females","Number","98,827"
"2003","Netherlands","5 years","Males","Number","99,862"
"2003","Netherlands","5 years","Females","Number","96,106"
"2003","Netherlands","6 years","Males","Number","99,870"
"2003","Netherlands","6 years","Females","Number","94,451"
"2003","Netherlands","7 years","Males","Number","99,555"
"2003","Netherlands","7 years","Females","Number","95,208"
"2003","Netherlands","8 years","Males","Number","102,318"
"2003","Netherlands","8 years","Females","Number","97,765"
"2003","Netherlands","9 years","Males","Number","101,977"
"2003","Netherlands","9 years","Females","Number","97,606"
"2003","Netherlands","10 years","Males","Number","103,278"
"2003","Netherlands","10 years","Females","Number","98,292"
"2003","Netherlands","11 years","Males","Number","104,438"
"2003","Netherlands","11 years","Females","Number","99,924"
"2003","Netherlands","12 years","Males","Number","105,023"
"2003","Netherlands","12 years","Females","Number","99,821"
"2003","Netherlands","13 years","Males","Number","100,455"
"2003","Netherlands","13 years","Females","Number","96,491"
"2003","Netherlands","14 years","Males","Number","99,761"
"2003","Netherlands","14 years","Females","Number","95,274"
"2003","Netherlands","15 years","Males","Number","100,732"
"2003","Netherlands","15 years","Females","Number","95,463"
"2003","Netherlands","16 years","Males","Number","99,851"
"2003","Netherlands","16 years","Females","Number","95,822"
"2003","Netherlands","17 years","Males","Number","98,222"
"2003","Netherlands","17 years","Females","Number","93,285"
"2003","Netherlands","18 years","Males","Number","97,733"
"2003","Netherlands","18 years","Females","Number","91,851"
"2003","Netherlands","19 years","Males","Number","95,225"
"2003","Netherlands","19 years","Females","Number","90,727"
"2003","Netherlands","20 years","Males","Number","96,257"
"2003","Netherlands","20 years","Females","Number","92,227"
"2003","Netherlands","21 years","Males","Number","98,423"
"2003","Netherlands","21 years","Females","Number","96,443"
"2003","Netherlands","22 years","Males","Number","100,499"
"2003","Netherlands","22 years","Females","Number","98,444"
"2003","Netherlands","23 years","Males","Number","97,670"
"2003","Netherlands","23 years","Females","Number","96,346"
"2003","Netherlands","24 years","Males","Number","98,970"
"2003","Netherlands","24 years","Females","Number","97,549"
"2003","Netherlands","25 years","Males","Number","98,206"
"2003","Netherlands","25 years","Females","Number","97,372"
"2003","Netherlands","26 years","Males","Number","100,775"
"2003","Netherlands","26 years","Females","Number","98,547"
"2003","Netherlands","27 years","Males","Number","101,670"
"2003","Netherlands","27 years","Females","Number","100,469"
"2003","Netherlands","28 years","Males","Number","106,920"
"2003","Netherlands","28 years","Females","Number","105,640"
"2003","Netherlands","29 years","Males","Number","111,357"
"2003","Netherlands","29 years","Females","Number","110,223"
"2003","Netherlands","30 years","Males","Number","121,208"
"2003","Netherlands","30 years","Females","Number","119,983"
"2003","Netherlands","31 years","Males","Number","128,478"
"2003","Netherlands","31 years","Females","Number","125,328"
"2003","Netherlands","32 years","Males","Number","134,892"
"2003","Netherlands","32 years","Females","Number","131,049"
"2003","Netherlands","33 years","Males","Number","138,756"
"2003","Netherlands","33 years","Females","Number","133,947"
"2003","Netherlands","34 years","Males","Number","133,005"
"2003","Netherlands","34 years","Females","Number","128,574"
"2003","Netherlands","35 years","Males","Number","132,219"
"2003","Netherlands","35 years","Females","Number","127,320"
"2003","Netherlands","36 years","Males","Number","133,301"
"2003","Netherlands","36 years","Females","Number","127,937"
"2003","Netherlands","37 years","Males","Number","136,022"
"2003","Netherlands","37 years","Females","Number","130,153"
"2003","Netherlands","38 years","Males","Number","138,058"
"2003","Netherlands","38 years","Females","Number","132,840"
"2003","Netherlands","39 years","Males","Number","136,181"
"2003","Netherlands","39 years","Females","Number","130,912"
"2003","Netherlands","40 years","Males","Number","133,134"
"2003","Netherlands","40 years","Females","Number","129,371"
"2003","Netherlands","41 years","Males","Number","131,913"
"2003","Netherlands","41 years","Females","Number","128,540"
"2003","Netherlands","42 years","Males","Number","128,985"
"2003","Netherlands","42 years","Females","Number","125,292"
"2003","Netherlands","43 years","Males","Number","127,607"
"2003","Netherlands","43 years","Females","Number","124,911"
"2003","Netherlands","44 years","Males","Number","124,268"
"2003","Netherlands","44 years","Females","Number","121,658"
"2003","Netherlands","45 years","Males","Number","121,929"
"2003","Netherlands","45 years","Females","Number","119,582"
"2003","Netherlands","46 years","Males","Number","120,354"
"2003","Netherlands","46 years","Females","Number","117,474"
"2003","Netherlands","47 years","Males","Number","116,994"
"2003","Netherlands","47 years","Females","Number","115,614"
"2003","Netherlands","48 years","Males","Number","116,139"
