"DATASET: Population on 1 January by age and sex [demo_pjan]"

"LAST UPDATE: 14.11.17 09:41:44"

"EXTRACTION DATE: 26.11.17 02:59:13"

"SOURCE OF DATA: Eurostat"

"TIME"
"2003"
"2004"
"2005"
"2006"
"2007"
"2008"
"2009"
"2010"
"2011"
"2012"
"2013"
"2014"
"2015"
"2016"

"GEO"
"Netherlands"

"AGE"
"Less than 1 year"
"1 year"
"2 years"
"3 years"
"4 years"
"5 years"
"6 years"
"7 years"
"8 years"
"9 years"
"10 years"
"11 years"
"12 years"
"13 years"
"14 years"
"15 years"
"16 years"
"17 years"
"18 years"
"19 years"
"20 years"
"21 years"
"22 years"
"23 years"
"24 years"
"25 years"
"26 years"
"27 years"
"28 years"
"29 years"
"30 years"
"31 years"
"32 years"
"33 years"
"34 years"
"35 years"
"36 years"
"37 years"
"38 years"
"39 years"
"40 years"
"41 years"
"42 years"
"43 years"
"44 years"
"45 years"
"46 years"
"47 years"
"48 years"
"49 years"
"50 years"
"51 years"
"52 years"
"53 years"
"54 years"
"55 years"
"56 years"
"57 years"
"58 years"
"59 years"
"60 years"
"61 years"
"62 years"
"63 years"
"64 years"
"65 years"
"66 years"
"67 years"
"68 years"
"69 years"
"70 years"
"71 years"
"72 years"
"73 years"
"74 years"
"75 years"
"76 years"
"77 years"
"78 years"
"79 years"
"80 years"
"81 years"
"82 years"
"83 years"
"84 years"
"85 years"
"86 years"
"87 years"
"88 years"
"89 years"
"90 years"
"91 years"
"92 years"
"93 years"
"94 years"
"95 years"
"96 years"
"97 years"
"98 years"
"99 years"
"Open-ended age class"

"SEX"
"Males"
"Females"

"UNIT"
"Number"

"Special value:"
":","not available"

