"TIME","GEO","UNIT","AGE","SEX","PROJECTION","Value"
"2015","Netherlands","Person","Less than 1 year","Males","Baseline projections ","89,200"
"2015","Netherlands","Person","Less than 1 year","Females","Baseline projections ","85,481"
"2015","Netherlands","Person","1 year","Males","Baseline projections ","88,068"
"2015","Netherlands","Person","1 year","Females","Baseline projections ","83,519"
"2015","Netherlands","Person","2 years","Males","Baseline projections ","90,389"
"2015","Netherlands","Person","2 years","Females","Baseline projections ","85,999"
"2015","Netherlands","Person","3 years","Males","Baseline projections ","92,624"
"2015","Netherlands","Person","3 years","Females","Baseline projections ","87,862"
"2015","Netherlands","Person","4 years","Males","Baseline projections ","94,447"
"2015","Netherlands","Person","4 years","Females","Baseline projections ","90,733"
"2015","Netherlands","Person","5 years","Males","Baseline projections ","95,173"
"2015","Netherlands","Person","5 years","Females","Baseline projections ","90,701"
"2015","Netherlands","Person","6 years","Males","Baseline projections ","95,467"
"2015","Netherlands","Person","6 years","Females","Baseline projections ","90,654"
"2015","Netherlands","Person","7 years","Males","Baseline projections ","93,376"
"2015","Netherlands","Person","7 years","Females","Baseline projections ","89,543"
"2015","Netherlands","Person","8 years","Males","Baseline projections ","95,697"
"2015","Netherlands","Person","8 years","Females","Baseline projections ","90,753"
"2015","Netherlands","Person","9 years","Males","Baseline projections ","96,335"
"2015","Netherlands","Person","9 years","Females","Baseline projections ","91,956"
"2015","Netherlands","Person","10 years","Males","Baseline projections ","99,111"
"2015","Netherlands","Person","10 years","Females","Baseline projections ","95,085"
"2015","Netherlands","Person","11 years","Males","Baseline projections ","102,917"
"2015","Netherlands","Person","11 years","Females","Baseline projections ","98,126"
"2015","Netherlands","Person","12 years","Males","Baseline projections ","103,363"
"2015","Netherlands","Person","12 years","Females","Baseline projections ","98,646"
"2015","Netherlands","Person","13 years","Males","Baseline projections ","104,224"
"2015","Netherlands","Person","13 years","Females","Baseline projections ","99,696"
"2015","Netherlands","Person","14 years","Males","Baseline projections ","106,060"
"2015","Netherlands","Person","14 years","Females","Baseline projections ","101,861"
"2015","Netherlands","Person","15 years","Males","Baseline projections ","104,076"
"2015","Netherlands","Person","15 years","Females","Baseline projections ","99,158"
"2015","Netherlands","Person","16 years","Males","Baseline projections ","103,488"
"2015","Netherlands","Person","16 years","Females","Baseline projections ","98,647"
"2015","Netherlands","Person","17 years","Males","Baseline projections ","100,425"
"2015","Netherlands","Person","17 years","Females","Baseline projections ","96,333"
"2015","Netherlands","Person","18 years","Males","Baseline projections ","101,698"
"2015","Netherlands","Person","18 years","Females","Baseline projections ","95,963"
"2015","Netherlands","Person","19 years","Males","Baseline projections ","102,596"
"2015","Netherlands","Person","19 years","Females","Baseline projections ","98,609"
"2015","Netherlands","Person","20 years","Males","Baseline projections ","106,496"
"2015","Netherlands","Person","20 years","Females","Baseline projections ","102,705"
"2015","Netherlands","Person","21 years","Males","Baseline projections ","106,527"
"2015","Netherlands","Person","21 years","Females","Baseline projections ","103,336"
"2015","Netherlands","Person","22 years","Males","Baseline projections ","108,394"
"2015","Netherlands","Person","22 years","Females","Baseline projections ","105,105"
"2015","Netherlands","Person","23 years","Males","Baseline projections ","109,987"
"2015","Netherlands","Person","23 years","Females","Baseline projections ","107,392"
"2015","Netherlands","Person","24 years","Males","Baseline projections ","110,918"
"2015","Netherlands","Person","24 years","Females","Baseline projections ","108,172"
"2015","Netherlands","Person","25 years","Males","Baseline projections ","106,761"
"2015","Netherlands","Person","25 years","Females","Baseline projections ","105,343"
"2015","Netherlands","Person","26 years","Males","Baseline projections ","106,050"
"2015","Netherlands","Person","26 years","Females","Baseline projections ","104,283"
"2015","Netherlands","Person","27 years","Males","Baseline projections ","106,765"
"2015","Netherlands","Person","27 years","Females","Baseline projections ","104,232"
"2015","Netherlands","Person","28 years","Males","Baseline projections ","105,884"
"2015","Netherlands","Person","28 years","Females","Baseline projections ","104,815"
"2015","Netherlands","Person","29 years","Males","Baseline projections ","103,940"
"2015","Netherlands","Person","29 years","Females","Baseline projections ","102,601"
"2015","Netherlands","Person","30 years","Males","Baseline projections ","102,760"
"2015","Netherlands","Person","30 years","Females","Baseline projections ","100,877"
"2015","Netherlands","Person","31 years","Males","Baseline projections ","99,834"
"2015","Netherlands","Person","31 years","Females","Baseline projections ","98,563"
"2015","Netherlands","Person","32 years","Males","Baseline projections ","100,368"
"2015","Netherlands","Person","32 years","Females","Baseline projections ","99,363"
"2015","Netherlands","Person","33 years","Males","Baseline projections ","101,862"
"2015","Netherlands","Person","33 years","Females","Baseline projections ","102,145"
"2015","Netherlands","Person","34 years","Males","Baseline projections ","103,679"
"2015","Netherlands","Person","34 years","Females","Baseline projections ","103,290"
"2015","Netherlands","Person","35 years","Males","Baseline projections ","100,201"
"2015","Netherlands","Person","35 years","Females","Baseline projections ","100,206"
"2015","Netherlands","Person","36 years","Males","Baseline projections ","100,342"
"2015","Netherlands","Person","36 years","Females","Baseline projections ","100,732"
"2015","Netherlands","Person","37 years","Males","Baseline projections ","98,632"
"2015","Netherlands","Person","37 years","Females","Baseline projections ","99,508"
"2015","Netherlands","Person","38 years","Males","Baseline projections ","100,324"
"2015","Netherlands","Person","38 years","Females","Baseline projections ","99,977"
"2015","Netherlands","Person","39 years","Males","Baseline projections ","100,644"
"2015","Netherlands","Person","39 years","Females","Baseline projections ","101,434"
"2015","Netherlands","Person","40 years","Males","Baseline projections ","105,095"
"2015","Netherlands","Person","40 years","Females","Baseline projections ","106,162"
"2015","Netherlands","Person","41 years","Males","Baseline projections ","108,965"
"2015","Netherlands","Person","41 years","Females","Baseline projections ","110,109"
"2015","Netherlands","Person","42 years","Males","Baseline projections ","117,802"
"2015","Netherlands","Person","42 years","Females","Baseline projections ","119,449"
"2015","Netherlands","Person","43 years","Males","Baseline projections ","124,640"
"2015","Netherlands","Person","43 years","Females","Baseline projections ","124,500"
"2015","Netherlands","Person","44 years","Males","Baseline projections ","130,316"
"2015","Netherlands","Person","44 years","Females","Baseline projections ","129,826"
"2015","Netherlands","Person","45 years","Males","Baseline projections ","133,718"
"2015","Netherlands","Person","45 years","Females","Baseline projections ","132,285"
"2015","Netherlands","Person","46 years","Males","Baseline projections ","127,958"
"2015","Netherlands","Person","46 years","Females","Baseline projections ","127,041"
"2015","Netherlands","Person","47 years","Males","Baseline projections ","127,215"
"2015","Netherlands","Person","47 years","Females","Baseline projections ","125,296"
"2015","Netherlands","Person","48 years","Males","Baseline projections ","128,025"
"2015","Netherlands","Person","48 years","Females","Baseline projections ","126,139"
"2015","Netherlands","Person","49 years","Males","Baseline projections ","130,402"
"2015","Netherlands","Person","49 years","Females","Baseline projections ","127,838"
"2015","Netherlands","Person","50 years","Males","Baseline projections ","132,572"
