"LOCATION","Country","HP","Provider","HF","Financing Agent","HC","Function","ICD","Diagnostic Category","AGE","Age Group","GEN","Gender","UNI","Unit","YR","Year","Value","Flag Codes","Flags"
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA000","All causes","T","Total","M","Male","MLLNCU","Million of national currency units","2003","2003",18522.6,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA000","All causes","T","Total","M","Male","MLLNCU","Million of national currency units","2005","2005",20396,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA000","All causes","T","Total","M","Male","MLLNCU","Million of national currency units","2007","2007",22671.4,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA000","All causes","T","Total","M","Male","MLLNCU","Million of national currency units","2011","2011",29393.2,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA000","All causes","T","Total","F","Female","MLLNCU","Million of national currency units","2003","2003",24948.2,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA000","All causes","T","Total","F","Female","MLLNCU","Million of national currency units","2005","2005",26716.2,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA000","All causes","T","Total","F","Female","MLLNCU","Million of national currency units","2007","2007",28070,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA000","All causes","T","Total","F","Female","MLLNCU","Million of national currency units","2011","2011",37363.6,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA000","All causes","0","0","M","Male","MLLNCU","Million of national currency units","2003","2003",407.9,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA000","All causes","0","0","M","Male","MLLNCU","Million of national currency units","2005","2005",467.5,,
