prev_rc,prev_rcdesc,new_rc,new_rcdesc,year,count
01,Northland Region,02,Auckland Region,2007,6318
01,Northland Region,02,Auckland Region,2008,7491
01,Northland Region,02,Auckland Region,2009,9327
01,Northland Region,02,Auckland Region,2010,8508
01,Northland Region,02,Auckland Region,2011,9003
01,Northland Region,02,Auckland Region,2012,9480
01,Northland Region,02,Auckland Region,2013,9225
01,Northland Region,02,Auckland Region,2014,10260
01,Northland Region,02,Auckland Region,2015,10797
01,Northland Region,02,Auckland Region,2016,11151
01,Northland Region,02,Auckland Region,2017,11121
01,Northland Region,03,Waikato Region,2007,1821
01,Northland Region,03,Waikato Region,2008,2136
01,Northland Region,03,Waikato Region,2009,2151
01,Northland Region,03,Waikato Region,2010,2256
01,Northland Region,03,Waikato Region,2011,2142
01,Northland Region,03,Waikato Region,2012,2274
01,Northland Region,03,Waikato Region,2013,2301
01,Northland Region,03,Waikato Region,2014,2514
01,Northland Region,03,Waikato Region,2015,2796
01,Northland Region,03,Waikato Region,2016,2778
01,Northland Region,03,Waikato Region,2017,2655
01,Northland Region,04,Bay of Plenty Region,2007,819
01,Northland Region,04,Bay of Plenty Region,2008,1020
01,Northland Region,04,Bay of Plenty Region,2009,1152
01,Northland Region,04,Bay of Plenty Region,2010,1191
01,Northland Region,04,Bay of Plenty Region,2011,1128
01,Northland Region,04,Bay of Plenty Region,2012,1092
01,Northland Region,04,Bay of Plenty Region,2013,1152
01,Northland Region,04,Bay of Plenty Region,2014,1299
01,Northland Region,04,Bay of Plenty Region,2015,1506
01,Northland Region,04,Bay of Plenty Region,2016,1548
01,Northland Region,04,Bay of Plenty Region,2017,1428
01,Northland Region,05,Gisborne Region,2007,87
01,Northland Region,05,Gisborne Region,2008,108
01,Northland Region,05,Gisborne Region,2009,105
01,Northland Region,05,Gisborne Region,2010,123
01,Northland Region,05,Gisborne Region,2011,126
01,Northland Region,05,Gisborne Region,2012,150
01,Northland Region,05,Gisborne Region,2013,171
01,Northland Region,05,Gisborne Region,2014,153
01,Northland Region,05,Gisborne Region,2015,135
01,Northland Region,05,Gisborne Region,2016,153
01,Northland Region,05,Gisborne Region,2017,156
01,Northland Region,06,Hawke's Bay Region,2007,303
01,Northland Region,06,Hawke's Bay Region,2008,375
01,Northland Region,06,Hawke's Bay Region,2009,387
01,Northland Region,06,Hawke's Bay Region,2010,378
01,Northland Region,06,Hawke's Bay Region,2011,360
01,Northland Region,06,Hawke's Bay Region,2012,363
01,Northland Region,06,Hawke's Bay Region,2013,396
01,Northland Region,06,Hawke's Bay Region,2014,354
01,Northland Region,06,Hawke's Bay Region,2015,450
01,Northland Region,06,Hawke's Bay Region,2016,462
01,Northland Region,06,Hawke's Bay Region,2017,432
01,Northland Region,07,Taranaki Region,2007,216
01,Northland Region,07,Taranaki Region,2008,327
01,Northland Region,07,Taranaki Region,2009,342
01,Northland Region,07,Taranaki Region,2010,387
01,Northland Region,07,Taranaki Region,2011,312
01,Northland Region,07,Taranaki Region,2012,294
01,Northland Region,07,Taranaki Region,2013,303
01,Northland Region,07,Taranaki Region,2014,324
01,Northland Region,07,Taranaki Region,2015,357
01,Northland Region,07,Taranaki Region,2016,390
01,Northland Region,07,Taranaki Region,2017,402
01,Northland Region,08,Manawatu-Wanganui Region,2007,378
01,Northland Region,08,Manawatu-Wanganui Region,2008,558
01,Northland Region,08,Manawatu-Wanganui Region,2009,603
01,Northland Region,08,Manawatu-Wanganui Region,2010,600
01,Northland Region,08,Manawatu-Wanganui Region,2011,576
01,Northland Region,08,Manawatu-Wanganui Region,2012,549
01,Northland Region,08,Manawatu-Wanganui Region,2013,567
01,Northland Region,08,Manawatu-Wanganui Region,2014,642
01,Northland Region,08,Manawatu-Wanganui Region,2015,651
01,Northland Region,08,Manawatu-Wanganui Region,2016,717
01,Northland Region,08,Manawatu-Wanganui Region,2017,825
01,Northland Region,09,Wellington Region,2007,630
01,Northland Region,09,Wellington Region,2008,771
01,Northland Region,09,Wellington Region,2009,831
01,Northland Region,09,Wellington Region,2010,882
01,Northland Region,09,Wellington Region,2011,843
01,Northland Region,09,Wellington Region,2012,834
01,Northland Region,09,Wellington Region,2013,822
01,Northland Region,09,Wellington Region,2014,864
01,Northland Region,09,Wellington Region,2015,957
01,Northland Region,09,Wellington Region,2016,1119
01,Northland Region,09,Wellington Region,2017,1047
01,Northland Region,12,West Coast Region,2007,33
01,Northland Region,12,West Coast Region,2008,36
01,Northland Region,12,West Coast Region,2009,54
01,Northland Region,12,West Coast Region,2010,72
